Irish Horses National Hunt (Jumps) (2025/2026 and 2024/2025)

Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Galopin Des Champs (FR) (Runs: 4 | 1st: 3 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 427500 | Place Money: 15000 | Total Prize Money: 442500)
King Of Kingsfield (Runs: 4 | 1st: 3 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 37500 | Place Money: 4000 | Total Prize Money: 41500)
Talk The Talk (FR) (Runs: 4 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 115200 | Place Money: 0 | Total Prize Money: 115200)
The Wallpark (Runs: 4 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 91500 | Place Money: 0 | Total Prize Money: 91500)
Bambino Fever (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 126600 | Place Money: 0 | Total Prize Money: 126600)
Final Demand (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 172500 | Place Money: 0 | Total Prize Money: 172500)
Irancy (FR) (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 106500 | Place Money: 0 | Total Prize Money: 106500)
Majborough (FR) (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 174000 | Place Money: 0 | Total Prize Money: 174000)
Oldschool Outlaw (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 44700 | Place Money: 0 | Total Prize Money: 44700)
Spindleberry (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 87300 | Place Money: 0 | Total Prize Money: 87300)
Ad Caelum (Runs: 14 | 1st: 2 | 2nd: 3 | 3rd: 0 | 4th: 1 | Win Money: 27000 | Place Money: 19375 | Total Prize Money: 46375)
Senecia (Runs: 12 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 3 | Win Money: 51000 | Place Money: 15875 | Total Prize Money: 66875)
Stuzzikini (Runs: 11 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 1 | Win Money: 71100 | Place Money: 12205 | Total Prize Money: 83305)
The Big Chap (Runs: 11 | 1st: 2 | 2nd: 0 | 3rd: 3 | 4th: 1 | Win Money: 40200 | Place Money: 13100 | Total Prize Money: 53300)
Monbeg Park (Runs: 10 | 1st: 2 | 2nd: 3 | 3rd: 1 | 4th: 2 | Win Money: 33600 | Place Money: 33530 | Total Prize Money: 67130)
An Peann Dearg (Runs: 9 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 2 | Win Money: 78000 | Place Money: 5620 | Total Prize Money: 83620)
Vischio (Runs: 9 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 2 | Win Money: 66600 | Place Money: 6050 | Total Prize Money: 72650)
Duke Silver (Runs: 8 | 1st: 2 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 28500 | Place Money: 8775 | Total Prize Money: 37275)
Mozzies Sister (Runs: 8 | 1st: 2 | 2nd: 3 | 3rd: 2 | 4th: 1 | Win Money: 14100 | Place Money: 41475 | Total Prize Money: 55575)
Sea Music (Runs: 8 | 1st: 2 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 66600 | Place Money: 6700 | Total Prize Money: 73300)
Frankie John (Runs: 7 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 19200 | Place Money: 16200 | Total Prize Money: 35400)
Maxxum (Runs: 7 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 2 | Win Money: 63000 | Place Money: 11900 | Total Prize Money: 74900)
Addragoole (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 24600 | Place Money: 13700 | Total Prize Money: 38300)
Aspurofthemoment (Runs: 6 | 1st: 2 | 2nd: 0 | 3rd: 3 | 4th: 0 | Win Money: 24600 | Place Money: 13525 | Total Prize Money: 38125)
El Champo (Runs: 6 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 36600 | Place Money: 7350 | Total Prize Money: 43950)
Frankendael (GB) (Runs: 6 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 66300 | Place Money: 1300 | Total Prize Money: 67600)
Glen Kiln (Runs: 6 | 1st: 2 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 32700 | Place Money: 33600 | Total Prize Money: 66300)
Jesse Evans (Runs: 6 | 1st: 2 | 2nd: 3 | 3rd: 1 | 4th: 0 | Win Money: 52500 | Place Money: 67750 | Total Prize Money: 120250)
Saint Sam (FR) (Runs: 6 | 1st: 2 | 2nd: 4 | 3rd: 0 | 4th: 0 | Win Money: 46200 | Place Money: 36100 | Total Prize Money: 82300)
Switch From Diesel (Runs: 6 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 1 | Win Money: 24600 | Place Money: 42600 | Total Prize Money: 67200)
The Banger Doyle (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 40200 | Place Money: 12000 | Total Prize Money: 52200)
Tounsivator (FR) (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 60300 | Place Money: 19000 | Total Prize Money: 79300)
Affordale Fury (Runs: 5 | 1st: 2 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 120600 | Place Money: 41000 | Total Prize Money: 161600)
Casheldale Lad (Runs: 5 | 1st: 2 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 90000 | Place Money: 42000 | Total Prize Money: 132000)
Downmexicoway (Runs: 5 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 19800 | Place Money: 21000 | Total Prize Money: 40800)
Jacob's Ladder (Runs: 5 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 69000 | Place Money: 11050 | Total Prize Money: 80050)
Millstream Lady (Runs: 5 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 31500 | Place Money: 7350 | Total Prize Money: 38850)
Perceval Legallois (FR) (Runs: 5 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 172000 | Place Money: 9000 | Total Prize Money: 181000)
Rocky's Diamond (Runs: 5 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 40200 | Place Money: 15375 | Total Prize Money: 55575)
She's A Fine Wine (Runs: 5 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 35700 | Place Money: 3800 | Total Prize Money: 39500)
Better Days Ahead (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 31800 | Place Money: 30000 | Total Prize Money: 61800)
Champagne Kid (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 69000 | Place Money: 1350 | Total Prize Money: 70350)
Dinoblue (FR) (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 63000 | Place Money: 26250 | Total Prize Money: 89250)
Dunboyne (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 38700 | Place Money: 25000 | Total Prize Money: 63700)
Impaire Et Passe (FR) (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 67800 | Place Money: 15000 | Total Prize Money: 82800)
Jasmin De Vaux (FR) (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 2 | Win Money: 82500 | Place Money: 12500 | Total Prize Money: 95000)
Kazansky (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 30000 | Place Money: 30000 | Total Prize Money: 60000)
Koktail Brut (FR) (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 58200 | Place Money: 7500 | Total Prize Money: 65700)
McLaurey (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 97500 | Place Money: 3250 | Total Prize Money: 100750)
Spanish Harlem (FR) (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 129300 | Place Money: 0 | Total Prize Money: 129300)
State Man (FR) (Runs: 4 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 294000 | Place Money: 45000 | Total Prize Money: 339000)
Zillow (GB) (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 0 | Total Prize Money: 72000)
Ballyburn (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 97800 | Place Money: 25000 | Total Prize Money: 122800)
Better Times Ahead (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 33900 | Place Money: 20000 | Total Prize Money: 53900)
Colcannon (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 66300 | Place Money: 10000 | Total Prize Money: 76300)
Colonel Mustard (FR) (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 37500 | Place Money: 2250 | Total Prize Money: 39750)
Heart Wood (FR) (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 45000 | Place Money: 7500 | Total Prize Money: 52500)
Hello Neighbour (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 117000 | Place Money: 12500 | Total Prize Money: 129500)
Home By The Lee (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 120000 | Place Money: 6000 | Total Prize Money: 126000)
Kaid D'authie (FR) (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 97500 | Place Money: 2500 | Total Prize Money: 100000)
Kopek Des Bordes (FR) (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 99000 | Place Money: 6250 | Total Prize Money: 105250)
Lossiemouth (FR) (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 180000 | Place Money: 40000 | Total Prize Money: 220000)
Mange Tout (FR) (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 24900 | Place Money: 15000 | Total Prize Money: 39900)
Moonverrin (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 66600 | Place Money: 2000 | Total Prize Money: 68600)
Narciso Has (FR) (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 117000 | Place Money: 6000 | Total Prize Money: 123000)
Nick Rockett (Runs: 3 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 82500 | Place Money: 10000 | Total Prize Money: 92500)
Only By Night (Runs: 3 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 32100 | Place Money: 25000 | Total Prize Money: 57100)
