Irish Jockeys Stats National Hunt (Jumps) (2024 and 2025 and 2026)

2025/2026
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

M.J.M O'Sullivan (Runs: 241 | 1st: 14 | 2nd: 14 | 3rd: 24 | 4th: 22 | Win Money: 136800 | Place Money: 125615 | Total Prize Money: 262415)
K.C. Sexton (Runs: 223 | 1st: 14 | 2nd: 12 | 3rd: 13 | 4th: 14 | Win Money: 140100 | Place Money: 85745 | Total Prize Money: 225845)
J. Smith (Runs: 129 | 1st: 14 | 2nd: 11 | 3rd: 10 | 4th: 15 | Win Money: 140700 | Place Money: 82235 | Total Prize Money: 222935)
K.E Buckley (Runs: 218 | 1st: 13 | 2nd: 21 | 3rd: 16 | 4th: 6 | Win Money: 96000 | Place Money: 94890 | Total Prize Money: 190890)
M.P. O'Connor (Runs: 175 | 1st: 13 | 2nd: 11 | 3rd: 11 | 4th: 11 | Win Money: 108300 | Place Money: 82690 | Total Prize Money: 190990)
J.H. Williamson (Runs: 95 | 1st: 13 | 2nd: 11 | 3rd: 10 | 4th: 13 | Win Money: 154200 | Place Money: 84795 | Total Prize Money: 238995)
R. Deegan (Runs: 245 | 1st: 12 | 2nd: 20 | 3rd: 16 | 4th: 16 | Win Money: 105000 | Place Money: 114845 | Total Prize Money: 219845)
C.P. Millar (Runs: 192 | 1st: 12 | 2nd: 17 | 3rd: 19 | 4th: 26 | Win Money: 106500 | Place Money: 156270 | Total Prize Money: 262770)
D. Doyle (Runs: 172 | 1st: 12 | 2nd: 16 | 3rd: 14 | 4th: 17 | Win Money: 80400 | Place Money: 77295 | Total Prize Money: 157695)
D. O'Connor (Runs: 75 | 1st: 12 | 2nd: 8 | 3rd: 5 | 4th: 6 | Win Money: 164400 | Place Money: 67620 | Total Prize Money: 232020)
G. Brouder (Runs: 184 | 1st: 11 | 2nd: 14 | 3rd: 12 | 4th: 20 | Win Money: 145800 | Place Money: 102145 | Total Prize Money: 247945)
T.P. Harney (Runs: 150 | 1st: 11 | 2nd: 14 | 3rd: 11 | 4th: 19 | Win Money: 122400 | Place Money: 78530 | Total Prize Money: 200930)
D.L. Queally (Runs: 32 | 1st: 11 | 2nd: 3 | 3rd: 1 | 4th: 3 | Win Money: 147000 | Place Money: 32290 | Total Prize Money: 179290)
E. Walsh (Runs: 182 | 1st: 10 | 2nd: 5 | 3rd: 11 | 4th: 17 | Win Money: 66300 | Place Money: 44140 | Total Prize Money: 110440)
F. Maguire (Runs: 119 | 1st: 10 | 2nd: 11 | 3rd: 13 | 4th: 18 | Win Money: 71100 | Place Money: 80795 | Total Prize Money: 151895)
P. Hanlon (Runs: 218 | 1st: 9 | 2nd: 20 | 3rd: 13 | 4th: 20 | Win Money: 65400 | Place Money: 92010 | Total Prize Money: 157410)
J. Coen (Runs: 159 | 1st: 9 | 2nd: 10 | 3rd: 11 | 4th: 11 | Win Money: 135000 | Place Money: 79600 | Total Prize Money: 214600)
N. Moore (Runs: 158 | 1st: 9 | 2nd: 5 | 3rd: 9 | 4th: 8 | Win Money: 91200 | Place Money: 35405 | Total Prize Money: 126605)
L. Quinlan (Runs: 157 | 1st: 9 | 2nd: 10 | 3rd: 10 | 4th: 11 | Win Money: 78000 | Place Money: 55080 | Total Prize Money: 133080)
S. O'Callaghan (Runs: 107 | 1st: 9 | 2nd: 8 | 3rd: 7 | 4th: 16 | Win Money: 69300 | Place Money: 45460 | Total Prize Money: 114760)
A. O'Sullivan (Runs: 95 | 1st: 9 | 2nd: 15 | 3rd: 6 | 4th: 7 | Win Money: 124200 | Place Money: 48410 | Total Prize Money: 172610)
A. McGuinness (Runs: 90 | 1st: 9 | 2nd: 11 | 3rd: 8 | 4th: 3 | Win Money: 67500 | Place Money: 57070 | Total Prize Money: 124570)
J. Townend (Runs: 49 | 1st: 9 | 2nd: 8 | 3rd: 5 | 4th: 9 | Win Money: 167100 | Place Money: 69670 | Total Prize Money: 236770)
C.G. O'Dwyer (Runs: 135 | 1st: 8 | 2nd: 6 | 3rd: 12 | 4th: 5 | Win Money: 68700 | Place Money: 57860 | Total Prize Money: 126560)
B.W. Harvey (Runs: 206 | 1st: 7 | 2nd: 15 | 3rd: 13 | 4th: 18 | Win Money: 46800 | Place Money: 74265 | Total Prize Money: 121065)
H.E. Sexton (Runs: 152 | 1st: 7 | 2nd: 2 | 3rd: 10 | 4th: 7 | Win Money: 89700 | Place Money: 44045 | Total Prize Money: 133745)
J.S. McGarvey (Runs: 150 | 1st: 7 | 2nd: 9 | 3rd: 9 | 4th: 13 | Win Money: 50100 | Place Money: 56980 | Total Prize Money: 107080)
L.A. McKenna (Runs: 132 | 1st: 7 | 2nd: 13 | 3rd: 12 | 4th: 14 | Win Money: 62700 | Place Money: 78465 | Total Prize Money: 141165)
P.J. O'Hanlon (Runs: 121 | 1st: 7 | 2nd: 6 | 3rd: 3 | 4th: 4 | Win Money: 56100 | Place Money: 36430 | Total Prize Money: 92530)
P.T. Smithers (Runs: 107 | 1st: 7 | 2nd: 10 | 3rd: 14 | 4th: 9 | Win Money: 54000 | Place Money: 71055 | Total Prize Money: 125055)
E. Finegan (Runs: 102 | 1st: 7 | 2nd: 9 | 3rd: 4 | 4th: 13 | Win Money: 103200 | Place Money: 52395 | Total Prize Money: 155595)
K. Callaghan (Runs: 83 | 1st: 7 | 2nd: 8 | 3rd: 8 | 4th: 6 | Win Money: 51600 | Place Money: 37960 | Total Prize Money: 89560)
D.G. Lavery (Runs: 58 | 1st: 7 | 2nd: 7 | 3rd: 4 | 4th: 4 | Win Money: 48000 | Place Money: 29315 | Total Prize Money: 77315)
J.M. Halford (Runs: 56 | 1st: 7 | 2nd: 6 | 3rd: 5 | 4th: 9 | Win Money: 47400 | Place Money: 27720 | Total Prize Money: 75120)
J.G. Gilligan (Runs: 132 | 1st: 6 | 2nd: 6 | 3rd: 11 | 4th: 8 | Win Money: 57600 | Place Money: 81265 | Total Prize Money: 138865)
A.B. O'Connor (Runs: 70 | 1st: 6 | 2nd: 5 | 3rd: 6 | 4th: 6 | Win Money: 52800 | Place Money: 27740 | Total Prize Money: 80540)
R.W. Barron (Runs: 65 | 1st: 6 | 2nd: 10 | 3rd: 5 | 4th: 7 | Win Money: 54900 | Place Money: 77300 | Total Prize Money: 132200)
C. Owens (Runs: 53 | 1st: 6 | 2nd: 2 | 3rd: 4 | 4th: 3 | Win Money: 38400 | Place Money: 15645 | Total Prize Money: 54045)
