Irish Jockeys Stats Flat (2024 and 2025)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

D. Egan (Runs: 71 | 1st: 8 | 2nd: 7 | 3rd: 12 | 4th: 13 | Win Money: 126300 | Place Money: 256280 | Total Prize Money: 382580)
J. O'Gorman (Runs: 47 | 1st: 8 | 2nd: 2 | 3rd: 4 | 4th: 3 | Win Money: 55500 | Place Money: 14490 | Total Prize Money: 69990)
S. Rutledge (Runs: 219 | 1st: 7 | 2nd: 10 | 3rd: 14 | 4th: 17 | Win Money: 49500 | Place Money: 68890 | Total Prize Money: 118390)
N.G. McCullagh (Runs: 118 | 1st: 7 | 2nd: 3 | 3rd: 5 | 4th: 4 | Win Money: 95100 | Place Money: 43890 | Total Prize Money: 138990)
R. Donaghue-Leahy (Runs: 43 | 1st: 7 | 2nd: 6 | 3rd: 3 | 4th: 4 | Win Money: 50100 | Place Money: 25000 | Total Prize Money: 75100)
D.E. Sheehy (Runs: 142 | 1st: 6 | 2nd: 8 | 3rd: 8 | 4th: 8 | Win Money: 101400 | Place Money: 112410 | Total Prize Money: 213810)
M.P. Sheehy (Runs: 135 | 1st: 6 | 2nd: 5 | 3rd: 7 | 4th: 11 | Win Money: 116100 | Place Money: 152300 | Total Prize Money: 268400)
H.J. Horgan (Runs: 77 | 1st: 6 | 2nd: 7 | 3rd: 7 | 4th: 7 | Win Money: 42300 | Place Money: 37135 | Total Prize Money: 79435)
K.J. Leonard (Runs: 114 | 1st: 5 | 2nd: 6 | 3rd: 5 | 4th: 9 | Win Money: 33600 | Place Money: 54440 | Total Prize Money: 88040)
C. Horgan (Runs: 113 | 1st: 5 | 2nd: 5 | 3rd: 4 | 4th: 3 | Win Money: 31800 | Place Money: 28770 | Total Prize Money: 60570)
S.T. McCullagh (Runs: 93 | 1st: 5 | 2nd: 6 | 3rd: 6 | 4th: 10 | Win Money: 48300 | Place Money: 77730 | Total Prize Money: 126030)
N. Bennett (Runs: 37 | 1st: 5 | 2nd: 0 | 3rd: 3 | 4th: 0 | Win Money: 37500 | Place Money: 6155 | Total Prize Money: 43655)
A.J. Hayes (Runs: 54 | 1st: 4 | 2nd: 5 | 3rd: 6 | 4th: 10 | Win Money: 28800 | Place Money: 29180 | Total Prize Money: 57980)
J.E. Harnett (Runs: 43 | 1st: 4 | 2nd: 2 | 3rd: 1 | 4th: 4 | Win Money: 28800 | Place Money: 10395 | Total Prize Money: 39195)
D. King (Runs: 32 | 1st: 4 | 2nd: 5 | 3rd: 1 | 4th: 4 | Win Money: 25800 | Place Money: 23545 | Total Prize Money: 49345)
M. Telford-Kelly (Runs: 23 | 1st: 4 | 2nd: 4 | 3rd: 0 | 4th: 0 | Win Money: 24900 | Place Money: 13350 | Total Prize Money: 38250)
J.S. Dalton (Runs: 85 | 1st: 3 | 2nd: 9 | 3rd: 2 | 4th: 8 | Win Money: 28500 | Place Money: 47030 | Total Prize Money: 75530)
C. Geerdharry (Runs: 65 | 1st: 3 | 2nd: 6 | 3rd: 3 | 4th: 3 | Win Money: 25800 | Place Money: 27765 | Total Prize Money: 53565)
S.B. Kelly (Runs: 59 | 1st: 3 | 2nd: 9 | 3rd: 5 | 4th: 3 | Win Money: 24900 | Place Money: 101380 | Total Prize Money: 126280)
T. Casey (Runs: 58 | 1st: 3 | 2nd: 6 | 3rd: 3 | 4th: 5 | Win Money: 22800 | Place Money: 23805 | Total Prize Money: 46605)
D.J. O'Connor (Runs: 54 | 1st: 3 | 2nd: 4 | 3rd: 5 | 4th: 3 | Win Money: 22800 | Place Money: 22660 | Total Prize Money: 45460)
G.P. Halpin (Runs: 44 | 1st: 3 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 21600 | Place Money: 4485 | Total Prize Money: 26085)
C. Cusack (Runs: 29 | 1st: 3 | 2nd: 2 | 3rd: 1 | 4th: 2 | Win Money: 21000 | Place Money: 10120 | Total Prize Money: 31120)
G. Hill (Runs: 17 | 1st: 3 | 2nd: 2 | 3rd: 5 | 4th: 1 | Win Money: 28800 | Place Money: 14210 | Total Prize Money: 43010)
S. Woods (Runs: 15 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 20700 | Place Money: 2740 | Total Prize Money: 23440)
C. Soumillon (Runs: 14 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 2 | Win Money: 875000 | Place Money: 114000 | Total Prize Money: 989000)
M. Crehan (Runs: 10 | 1st: 3 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 31800 | Place Money: 5650 | Total Prize Money: 37450)
R. Coakley (Runs: 138 | 1st: 2 | 2nd: 5 | 3rd: 8 | 4th: 8 | Win Money: 18900 | Place Money: 45080 | Total Prize Money: 63980)
C.J. MacRedmond (Runs: 137 | 1st: 2 | 2nd: 4 | 3rd: 7 | 4th: 9 | Win Money: 12000 | Place Money: 37150 | Total Prize Money: 49150)
A. Browne-Souza (Runs: 79 | 1st: 2 | 2nd: 3 | 3rd: 9 | 4th: 5 | Win Money: 14100 | Place Money: 25555 | Total Prize Money: 39655)
Oisin McSweeney (Runs: 44 | 1st: 2 | 2nd: 0 | 3rd: 3 | 4th: 2 | Win Money: 13500 | Place Money: 9725 | Total Prize Money: 23225)
S. Tormey (Runs: 39 | 1st: 2 | 2nd: 3 | 3rd: 1 | 4th: 3 | Win Money: 12900 | Place Money: 12015 | Total Prize Money: 24915)
A.S. Grant (Runs: 30 | 1st: 2 | 2nd: 3 | 3rd: 2 | 4th: 5 | Win Money: 25200 | Place Money: 17225 | Total Prize Money: 42425)
A.J. Clarke (Runs: 22 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 12900 | Place Money: 4600 | Total Prize Money: 17500)
