Irish Trainers Flat


Denis Gerard Hogan — Runs (152) | 1st (15) | 2nd (12) | 3rd (11) | 4th (15) | Win Money (€103,200) | Place Money (€57,615) | Total Prize Money (€160,815)
Michael Mulvany — Runs (34) | 1st (0) | 2nd (3) | 3rd (3) | 4th (2) | Win Money (€0) | Place Money (€14,728) | Total Prize Money (€14,728)

Kevin Thomas Coleman — Runs (12) | 1st (1) | 2nd (3) | 3rd (2) | 4th (0) | Win Money (€6,000) | Place Money (€8,610) | Total Prize Money (€14,610)

P. Sweeney — Runs (22) | 1st (2) | 2nd (0) | 3rd (0) | 4th (2) | Win Money (€12,000) | Place Money (€2,005) | Total Prize Money (€14,005)

Noel Meade — Runs (19) | 1st (1) | 2nd (1) | 3rd (4) | 4th (1) | Win Money (€6,900) | Place Money (€6,800) | Total Prize Money (€13,700)

Anthony Mullins — Runs (5) | 1st (2) | 2nd (1) | 3rd (0) | 4th (1) | Win Money (€12,000) | Place Money (€875) | Total Prize Money (€12,875)

Adrian Murray — Runs (3) | 1st (1) | 2nd (0) | 3rd (0) | 4th (1) | Win Money (€9,000) | Place Money (€2,700) | Total Prize Money (€11,700)

Conor David Maxwell — Runs (9) | 1st (1) | 2nd (1) | 3rd (0) | 4th (2) | Win Money (€6,900) | Place Money (€4,250) | Total Prize Money (€11,150)

Gerard Keane — Runs (19) | 1st (0) | 2nd (3) | 3rd (3) | 4th (1) | Win Money (€0) | Place Money (€11,075) | Total Prize Money (€11,075)

D. K. Weld — Runs (15) | 1st (1) | 2nd (0) | 3rd (1) | 4th (1) | Win Money (€7,200) | Place Money (€3,830) | Total Prize Money (€11,030)

Shane Crawley — Runs (7) | 1st (1) | 2nd (1) | 3rd (1) | 4th (0) | Win Money (€6,900) | Place Money (€3,335) | Total Prize Money (€10,235)

Gerard O'Leary — Runs (9) | 1st (1) | 2nd (1) | 3rd (1) | 4th (0) | Win Money (€6,000) | Place Money (€4,060) | Total Prize Money (€10,060)

Edward Lynam — Runs (11) | 1st (1) | 2nd (0) | 3rd (1) | 4th (3) | Win Money (€6,900) | Place Money (€3,110) | Total Prize Money (€10,010)

Jack W. Davison — Runs (19) | 1st (1) | 2nd (1) | 3rd (4) | 4th (2) | Win Money (€0) | Place Money (€9,980) | Total Prize Money (€9,980)
