Irish Trainers Stats Flat (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

A.P.O'Brien (Runs: 495 | 1st: 131 | 2nd: 86 | 3rd: 68 | 4th: 53 | Win Money: 4336100 | Place Money: 2221870 | Total Prize Money: 6557970)
Michael Mulvany (Runs: 173 | 1st: 7 | 2nd: 14 | 3rd: 12 | 4th: 10 | Win Money: 62400 | Place Money: 84415 | Total Prize Money: 146815)
Daniel James Murphy (Runs: 97 | 1st: 6 | 2nd: 8 | 3rd: 4 | 4th: 6 | Win Money: 90000 | Place Money: 51180 | Total Prize Money: 141180)
Kevin Thomas Coleman (Runs: 123 | 1st: 6 | 2nd: 11 | 3rd: 10 | 4th: 8 | Win Money: 51900 | Place Money: 68035 | Total Prize Money: 119935)
M.C. Grassick (Runs: 86 | 1st: 6 | 2nd: 4 | 3rd: 2 | 4th: 6 | Win Money: 47400 | Place Money: 40460 | Total Prize Money: 87860)
John S. O'Donoghue (Runs: 59 | 1st: 6 | 2nd: 4 | 3rd: 3 | 4th: 8 | Win Money: 52800 | Place Money: 34000 | Total Prize Money: 86800)
Patrick J.Flynn (Runs: 62 | 1st: 6 | 2nd: 10 | 3rd: 4 | 4th: 5 | Win Money: 48900 | Place Money: 34605 | Total Prize Money: 83505)
Kieran P. Cotter (Runs: 77 | 1st: 6 | 2nd: 5 | 3rd: 5 | 4th: 5 | Win Money: 48600 | Place Money: 34470 | Total Prize Money: 83070)
Ciaran Murphy (Runs: 108 | 1st: 6 | 2nd: 7 | 3rd: 2 | 4th: 5 | Win Money: 48900 | Place Money: 32295 | Total Prize Money: 81195)
E. McNamara (Runs: 33 | 1st: 6 | 2nd: 4 | 3rd: 2 | 4th: 3 | Win Money: 39900 | Place Money: 16540 | Total Prize Money: 56440)
Alan McIntyre (Runs: 46 | 1st: 5 | 2nd: 5 | 3rd: 4 | 4th: 2 | Win Money: 52800 | Place Money: 44365 | Total Prize Money: 97165)
