Irish Horses Flat (2025 and 2024)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Fleur De Chine (GB) (Runs: 8 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 117500 | Place Money: 15125 | Total Prize Money: 132625)
Howd'yadoit (Runs: 7 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 1 | Win Money: 120800 | Place Money: 13750 | Total Prize Money: 134550)
Princess Child (FR) (Runs: 7 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 102000 | Place Money: 13500 | Total Prize Money: 115500)
Slieve Binnian (Runs: 7 | 1st: 2 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 120000 | Place Money: 12200 | Total Prize Money: 132200)
Arizona Blaze (GB) (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 2 | 4th: 1 | Win Money: 48000 | Place Money: 57375 | Total Prize Money: 105375)
Booyea (Runs: 6 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 71100 | Place Money: 4500 | Total Prize Money: 75600)
Copacabana Sands (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 63000 | Place Money: 9700 | Total Prize Money: 72700)
Exactly (Runs: 6 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 40800 | Place Money: 74000 | Total Prize Money: 114800)
Kendall Roy (GB) (Runs: 6 | 1st: 2 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 57000 | Place Money: 7200 | Total Prize Money: 64200)
One Look (Runs: 6 | 1st: 2 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 38700 | Place Money: 24050 | Total Prize Money: 62750)
Right And True (Runs: 6 | 1st: 2 | 2nd: 0 | 3rd: 3 | 4th: 0 | Win Money: 39300 | Place Money: 30400 | Total Prize Money: 69700)
Stop The Nation (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 28800 | Place Money: 37500 | Total Prize Money: 66300)
Summer Is Tomorrow (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 25800 | Place Money: 41250 | Total Prize Money: 67050)
The Euphrates (GB) (Runs: 6 | 1st: 2 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 354000 | Place Money: 75500 | Total Prize Money: 429500)
Trustyourinstinct (Runs: 6 | 1st: 2 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 90000 | Place Money: 17400 | Total Prize Money: 107400)
Alakazi (FR) (Runs: 5 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 129600 | Place Money: 37000 | Total Prize Money: 166600)
Amazon Lady (Runs: 5 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 71400 | Place Money: 0 | Total Prize Money: 71400)
Beset (GB) (Runs: 5 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 48000 | Place Money: 20000 | Total Prize Money: 68000)
Fleetfoot (Runs: 5 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 73200 | Place Money: 25500 | Total Prize Money: 98700)
Light As Air (Runs: 5 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 72000 | Place Money: 39500 | Total Prize Money: 111500)
North Coast (Runs: 5 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 45000 | Place Money: 23000 | Total Prize Money: 68000)
Power Blue (Runs: 5 | 1st: 2 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 222000 | Place Money: 29000 | Total Prize Money: 251000)
State Actor (Runs: 5 | 1st: 2 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 72000 | Place Money: 27300 | Total Prize Money: 99300)
Wingspan (Runs: 5 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 42000 | Place Money: 46800 | Total Prize Money: 88800)
Alphecca (Runs: 4 | 1st: 2 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 82800 | Place Money: 3100 | Total Prize Money: 85900)
