Galveston (GB) — Rating (106) | Trainer (A.P.O'Brien)
Hazdann — Rating (106) | Trainer (D. K. Weld)
Isaac Newton — Rating (106) | Trainer (A.P.O'Brien)
New Zealand — Rating (106) | Trainer (A.P.O'Brien)
Princess Child (FR) — Rating (106) | Trainer (Joseph Patrick O'Brien)
Purple Lily — Rating (106) | Trainer (P. Twomey)
Samui (GB) — Rating (106) | Trainer (Gordon Elliott)
Skydance (GB) — Rating (106) | Trainer (W. McCreery)
A Piece Of Heaven (FR) — Rating (105) | Trainer (Joseph Patrick O'Brien)
Composing — Rating (105) | Trainer (A.P.O'Brien)
Copacabana Sands — Rating (105) | Trainer (M.D. O'Callaghan)
Daytona — Rating (105) | Trainer (A.P.O'Brien)
Endorsement — Rating (105) | Trainer (A.P.O'Brien)
Happy Pharoah — Rating (105) | Trainer (Donnacha Aidan O'Brien)
Leinster — Rating (105) | Trainer (Joseph Patrick O'Brien)
Piazza San Marco (USA) — Rating (105) | Trainer (A.P.O'Brien)
Puppet Master — Rating (105) | Trainer (Ciaran Murphy)
Shackleton — Rating (105) | Trainer (A.P.O'Brien)
Sunchart (GB) — Rating (105) | Trainer (Andrew Slattery)
Uxmal — Rating (105) | Trainer (Joseph Patrick O'Brien)
Whistlejacket — Rating (105) | Trainer (A.P.O'Brien)
Cadogan (GB) — Rating (104) | Trainer (Joseph Patrick O'Brien)
California Dreamer (GB) — Rating (104) | Trainer (Robson De Aguiar)
Elizabeth Jane — Rating (104) | Trainer (D. K. Weld)
Giselle — Rating (104) | Trainer (A.P.O'Brien)
Lady Iman — Rating (104) | Trainer (G.M.Lyons)
Light As Air — Rating (104) | Trainer (A.P.O'Brien)
Omni Man — Rating (104) | Trainer (Joseph Patrick O'Brien)
Run For Oscar — Rating (104) | Trainer (C.Byrnes)
Saracen (FR) — Rating (104) | Trainer (Joseph Patrick O'Brien)
Sugar Island — Rating (104) | Trainer (A.P.O'Brien)
Swelter (GB) — Rating (104) | Trainer (D. K. Weld)
Tiberius Thunder — Rating (104) | Trainer (Robson De Aguiar)
Tokenomics (FR) — Rating (104) | Trainer (David Marnane)
Vera's Secret — Rating (104) | Trainer (John James Feane)
Acapulco Bay — Rating (103) | Trainer (A.P.O'Brien)
Andab — Rating (103) | Trainer (Joseph Patrick O'Brien)
Apples And Bananas — Rating (103) | Trainer (Joseph Patrick O'Brien)
Bubble Gum (FR) — Rating (103) | Trainer (J.P. Murtagh)
Bubbling — Rating (103) | Trainer (A.P.O'Brien)
Cristal Clere — Rating (103) | Trainer (John J.Nallen)
Drawn To Dream — Rating (103) | Trainer (Ross O'Sullivan)
Erosandpsyche — Rating (103) | Trainer (Daniel James Murphy)
Fleur De Chine (GB) — Rating (103) | Trainer (Mrs John Harrington)
Flushing Meadows (USA) — Rating (103) | Trainer (A.P.O'Brien)
Madam Celeste — Rating (103) | Trainer (G.M.Lyons)
Magical Hope (GB) — Rating (103) | Trainer (P. Twomey)
Norwalk Havoc (GB) — Rating (103) | Trainer (Mrs John Harrington)
Port Of Spain — Rating (103) | Trainer (A.P.O'Brien)
Salt Bay (GER) — Rating (103) | Trainer (Henry de Bromhead)
