Irish Trainers Stats National Hunt (Jumps) (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Philip Fenton (Runs: 82 | 1st: 6 | 2nd: 5 | 3rd: 8 | 4th: 11 | Win Money: 109500 | Place Money: 50930 | Total Prize Money: 160430)
C.A.Murphy (Runs: 60 | 1st: 6 | 2nd: 6 | 3rd: 3 | 4th: 4 | Win Money: 84300 | Place Money: 53020 | Total Prize Money: 137320)
Patrick T. Foley (Runs: 92 | 1st: 6 | 2nd: 4 | 3rd: 11 | 4th: 13 | Win Money: 49500 | Place Money: 35835 | Total Prize Money: 85335)
Jonathan Sweeney (Runs: 33 | 1st: 6 | 2nd: 4 | 3rd: 4 | 4th: 5 | Win Money: 49500 | Place Money: 33790 | Total Prize Money: 83290)
Michael Winters (Runs: 51 | 1st: 6 | 2nd: 3 | 3rd: 4 | 4th: 4 | Win Money: 62400 | Place Money: 20805 | Total Prize Money: 83205)
S.G. Carey (Runs: 32 | 1st: 6 | 2nd: 4 | 3rd: 3 | 4th: 3 | Win Money: 49500 | Place Money: 30700 | Total Prize Money: 80200)
James M. Barcoe (Runs: 91 | 1st: 6 | 2nd: 7 | 3rd: 3 | 4th: 7 | Win Money: 42900 | Place Money: 29000 | Total Prize Money: 71900)
Mrs John Harrington (Runs: 42 | 1st: 6 | 2nd: 3 | 3rd: 4 | 4th: 4 | Win Money: 48000 | Place Money: 20425 | Total Prize Money: 68425)
Noel C. Kelly (Runs: 95 | 1st: 6 | 2nd: 4 | 3rd: 6 | 4th: 2 | Win Money: 38100 | Place Money: 20980 | Total Prize Money: 59080)
S.R.B. Crawford (Runs: 79 | 1st: 5 | 2nd: 11 | 3rd: 8 | 4th: 13 | Win Money: 56400 | Place Money: 75860 | Total Prize Money: 132260)
Padraig Roche (Runs: 83 | 1st: 5 | 2nd: 3 | 3rd: 11 | 4th: 13 | Win Money: 30900 | Place Money: 69105 | Total Prize Money: 100005)
T.M. Walsh (Runs: 36 | 1st: 5 | 2nd: 2 | 3rd: 8 | 4th: 3 | Win Money: 39600 | Place Money: 39975 | Total Prize Money: 79575)
James Andrew Fahey (Runs: 73 | 1st: 5 | 2nd: 10 | 3rd: 3 | 4th: 4 | Win Money: 34200 | Place Money: 33660 | Total Prize Money: 67860)
Ciaran Murphy (Runs: 89 | 1st: 5 | 2nd: 6 | 3rd: 5 | 4th: 10 | Win Money: 33000 | Place Money: 29780 | Total Prize Money: 62780)
Sean Aherne (Runs: 58 | 1st: 5 | 2nd: 4 | 3rd: 7 | 4th: 3 | Win Money: 32700 | Place Money: 22495 | Total Prize Money: 55195)
Paul Hennessy (Runs: 24 | 1st: 5 | 2nd: 2 | 3rd: 3 | 4th: 1 | Win Money: 41100 | Place Money: 12100 | Total Prize Money: 53200)
Paul O'Flynn (Runs: 26 | 1st: 5 | 2nd: 2 | 3rd: 2 | 4th: 4 | Win Money: 34500 | Place Money: 12065 | Total Prize Money: 46565)
Thomas Gibney (Runs: 75 | 1st: 4 | 2nd: 3 | 3rd: 8 | 4th: 8 | Win Money: 34200 | Place Money: 62235 | Total Prize Money: 96435)
Liz Doyle (Runs: 64 | 1st: 4 | 2nd: 8 | 3rd: 4 | 4th: 3 | Win Money: 51600 | Place Money: 39945 | Total Prize Money: 91545)
P. E. Collins (Runs: 14 | 1st: 4 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 82200 | Place Money: 5155 | Total Prize Money: 87355)
Anthony Mullins (Runs: 46 | 1st: 4 | 2nd: 8 | 3rd: 5 | 4th: 5 | Win Money: 50700 | Place Money: 33135 | Total Prize Money: 83835)
Connor King (Runs: 10 | 1st: 4 | 2nd: 4 | 3rd: 2 | 4th: 0 | Win Money: 61500 | Place Money: 13700 | Total Prize Money: 75200)
