Irish Trainers National Hunt 


Gordon Elliott — Runs (944) | 1st (155) | 2nd (123) | 3rd (131) | 4th (100) | Win Money (€2,896,600) | Place Money (€1,263,390) | Total Prize Money (€4,159,990)
Eoin Griffin — Runs (67) | 1st (7) | 2nd (5) | 3rd (5) | 4th (8) | Win Money (€66,300) | Place Money (€30,030) | Total Prize Money (€96,330)

William Durkan — Runs (34) | 1st (8) | 2nd (8) | 3rd (4) | 4th (3) | Win Money (€61,500) | Place Money (€30,425) | Total Prize Money (€91,925)

Liz Doyle — Runs (64) | 1st (4) | 2nd (8) | 3rd (4) | 4th (3) | Win Money (€51,600) | Place Money (€39,945) | Total Prize Money (€91,545)

A.J.Martin — Runs (87) | 1st (7) | 2nd (8) | 3rd (11) | 4th (7) | Win Money (€50,100) | Place Money (€40,700) | Total Prize Money (€90,800)

P. E. Collins — Runs (14) | 1st (4) | 2nd (1) | 3rd (2) | 4th (0) | Win Money (€82,200) | Place Money (€5,155) | Total Prize Money (€87,355)

Patrick T. Foley — Runs (88) | 1st (6) | 2nd (4) | 3rd (8) | 4th (13) | Win Money (€49,500) | Place Money (€35,835) | Total Prize Money (€85,335)

Anthony Mullins — Runs (46) | 1st (4) | 2nd (8) | 3rd (5) | 4th (5) | Win Money (€50,700) | Place Money (€33,135) | Total Prize Money (€83,835)

Jonathan Sweeney — Runs (33) | 1st (6) | 2nd (4) | 3rd (4) | 4th (5) | Win Money (€49,500) | Place Money (€33,790) | Total Prize Money (€83,290)

Michael Winters — Runs (51) | 1st (6) | 2nd (3) | 3rd (4) | 4th (4) | Win Money (€62,400) | Place Money (€20,805) | Total Prize Money (€83,205)

S.G. Carey — Runs (32) | 1st (6) | 2nd (4) | 3rd (3) | 4th (3) | Win Money (€49,500) | Place Money (€30,700) | Total Prize Money (€80,200)
